,country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
676071,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-15,30.0,,,,,
676072,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-16,50.0,,,,,
676073,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-17,30.0,7.0,,,-47.0,
676074,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-18,21.0,7.0,,,5.0,
676075,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-19,29.0,17.0,,,8.0,
676076,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-20,30.0,8.0,,,5.0,
676077,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-21,22.0,9.0,,,5.0,
676078,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-22,19.0,,,,,
676079,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-23,25.0,,,,,
676080,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-24,11.0,7.0,,,7.0,
676081,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-25,11.0,1.0,,,6.0,
676082,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-26,12.0,8.0,,,8.0,
676083,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-27,8.0,1.0,,,6.0,
676084,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-28,5.0,5.0,,,7.0,
676085,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-29,13.0,,,,,
676086,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-01,20.0,,,,,
676087,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-02,11.0,3.0,,,5.0,
676088,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-03,11.0,5.0,,,6.0,
676089,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-04,9.0,4.0,,,6.0,
676090,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-05,9.0,-4.0,,,6.0,
676091,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-06,9.0,4.0,,,9.0,
676092,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-07,13.0,,,,,
676093,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-08,22.0,,,,,
676094,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-09,8.0,9.0,,,2.0,
676095,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-10,10.0,0.0,,,5.0,
676096,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-11,10.0,15.0,,,10.0,
676097,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-12,17.0,18.0,,,8.0,
676098,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-13,13.0,24.0,,,5.0,
676099,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-14,12.0,,,,,
676100,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-15,21.0,,,,,
676101,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-16,19.0,38.0,,,-13.0,
676102,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-17,9.0,38.0,,,-19.0,
676103,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-18,-9.0,19.0,,,-20.0,
676104,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-19,-21.0,2.0,,,-25.0,
676105,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-20,-29.0,2.0,,,-28.0,
676106,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-21,-44.0,,,,-28.0,
676107,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-22,-52.0,,,,,
676108,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-23,-48.0,-27.0,,,-41.0,
676109,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-24,-47.0,-23.0,,,-46.0,
676110,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-25,-43.0,-20.0,,,-44.0,
676111,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-26,-50.0,-26.0,,,-48.0,
676112,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-27,-50.0,-20.0,,,-47.0,
676113,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-28,-59.0,,-41.0,,-40.0,
676114,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-29,-53.0,,,,-43.0,
676115,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-30,-51.0,-24.0,,,-47.0,
676116,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-31,-42.0,-26.0,,,-45.0,
676117,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-01,-48.0,-19.0,,,-45.0,
676118,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-02,-47.0,-25.0,,,-48.0,
676119,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-03,-43.0,-20.0,,,-46.0,
676120,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-04,-49.0,,-10.0,,-41.0,
676121,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-05,-45.0,,,,-47.0,
676122,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-06,-40.0,-26.0,,,-44.0,
676123,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-07,-38.0,-20.0,,,-41.0,
676124,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-08,-38.0,-22.0,,,-40.0,
676125,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-09,-25.0,-10.0,,,-40.0,
676126,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-10,-48.0,-16.0,,,-66.0,
676127,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-11,-43.0,,22.0,,-41.0,
676128,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-12,-50.0,,,,-40.0,
676129,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-13,-44.0,-29.0,,,-56.0,
676130,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-14,-35.0,-21.0,,,-41.0,
676131,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-15,-35.0,-11.0,,,-37.0,
676132,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-16,-34.0,-20.0,,,-36.0,
676133,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-17,-40.0,-20.0,,,-34.0,
676134,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-18,-42.0,,17.0,,-33.0,
676135,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-19,-36.0,,,,-41.0,
676136,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-20,-33.0,-20.0,,,-37.0,
676137,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-21,-32.0,-19.0,,,-33.0,
676138,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-22,-35.0,-12.0,,,-35.0,
676139,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-23,-34.0,-12.0,,,-35.0,
676140,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-24,-35.0,-9.0,,,-34.0,
676141,CA,Canada,British Columbia,Alberni-Clayoquot,2020-04-25,-45.0,,-32.0,,-31.0,
