,country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
819523,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-15,30.0,,,,,
819524,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-16,50.0,,,,,
819525,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-17,30.0,7.0,,,-47.0,
819526,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-18,21.0,7.0,,,5.0,
819527,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-19,29.0,17.0,,,8.0,
819528,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-20,30.0,8.0,,,5.0,
819529,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-21,22.0,9.0,,,5.0,
819530,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-22,19.0,,,,,
819531,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-23,25.0,,,,,
819532,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-24,11.0,7.0,,,7.0,
819533,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-25,11.0,1.0,,,6.0,
819534,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-26,12.0,8.0,,,8.0,
819535,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-27,8.0,1.0,,,6.0,
819536,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-28,5.0,5.0,,,7.0,
819537,CA,Canada,British Columbia,Alberni-Clayoquot,2020-02-29,13.0,,,,,
819538,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-01,20.0,,,,,
819539,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-02,11.0,3.0,,,5.0,
819540,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-03,11.0,5.0,,,6.0,
819541,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-04,9.0,4.0,,,6.0,
819542,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-05,9.0,-4.0,,,6.0,
819543,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-06,9.0,4.0,,,9.0,
819544,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-07,13.0,,,,,
819545,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-08,22.0,,,,,
819546,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-09,8.0,9.0,,,2.0,
819547,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-10,10.0,0.0,,,5.0,
819548,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-11,10.0,15.0,,,10.0,
819549,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-12,17.0,18.0,,,8.0,
819550,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-13,13.0,24.0,,,5.0,
819551,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-14,12.0,,,,,
819552,CA,Canada,British Columbia,Alberni-Clayoquot,2020-03-15,21.0,,,,,
