,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
819232,CA,Canada,British Columbia,,,CA-BC,,2020-02-15,1.0,0.0,-4.0,2.0,-4.0,0.0
819233,CA,Canada,British Columbia,,,CA-BC,,2020-02-16,12.0,2.0,41.0,10.0,-2.0,-2.0
819234,CA,Canada,British Columbia,,,CA-BC,,2020-02-17,5.0,9.0,114.0,-21.0,-67.0,12.0
819235,CA,Canada,British Columbia,,,CA-BC,,2020-02-18,6.0,8.0,60.0,1.0,1.0,0.0
819236,CA,Canada,British Columbia,,,CA-BC,,2020-02-19,6.0,6.0,54.0,5.0,0.0,0.0
819237,CA,Canada,British Columbia,,,CA-BC,,2020-02-20,6.0,8.0,56.0,0.0,0.0,0.0
819238,CA,Canada,British Columbia,,,CA-BC,,2020-02-21,6.0,3.0,44.0,3.0,1.0,-1.0
819239,CA,Canada,British Columbia,,,CA-BC,,2020-02-22,5.0,3.0,21.0,4.0,2.0,0.0
819240,CA,Canada,British Columbia,,,CA-BC,,2020-02-23,3.0,0.0,-2.0,1.0,0.0,0.0
819241,CA,Canada,British Columbia,,,CA-BC,,2020-02-24,1.0,4.0,22.0,0.0,2.0,0.0
819242,CA,Canada,British Columbia,,,CA-BC,,2020-02-25,2.0,3.0,23.0,1.0,4.0,0.0
819243,CA,Canada,British Columbia,,,CA-BC,,2020-02-26,2.0,4.0,32.0,3.0,2.0,0.0
819244,CA,Canada,British Columbia,,,CA-BC,,2020-02-27,2.0,4.0,23.0,0.0,3.0,0.0
819245,CA,Canada,British Columbia,,,CA-BC,,2020-02-28,5.0,4.0,18.0,2.0,3.0,-2.0
819246,CA,Canada,British Columbia,,,CA-BC,,2020-02-29,7.0,8.0,39.0,7.0,3.0,-1.0
