,Unnamed: 0,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,813956,CA,Canada,Alberta,,,CA-AB,,2020-02-15,0.009308338203888022,0.005968953272149938,0.03956213844959911,0.0048342359738900295,-0.0006326030578199788,-0.0009991475728419895
1,813957,CA,Canada,Alberta,,,CA-AB,,2020-02-16,-0.012079550346598307,-0.018074548655226157,-0.04117519639668092,-0.007691090192806921,-0.010279927451266409,0.0004387892125557466
2,813958,CA,Canada,Alberta,,,CA-AB,,2020-02-17,0.007194675375761973,0.024549480023083818,-0.0802457034324457,-0.025294004756080027,-0.03928239743135919,0.0032834521498676175
3,813959,CA,Canada,Alberta,,,CA-AB,,2020-02-18,-0.004251570648706914,-0.006389158312445199,-0.00857613418979814,-0.010798778750107754,-0.004754244389067886,0.0008412599637099946
4,813960,CA,Canada,Alberta,,,CA-AB,,2020-02-19,0.00697719124962946,0.008541223172125398,0.03663664619700696,-0.005495669610010976,0.0021728565404630306,-0.0005016439623514468
5,813961,CA,Canada,Alberta,,,CA-AB,,2020-02-20,-0.0018267230321820243,0.003215331179668118,0.0008604415607334778,-0.007051219219449987,0.0004601449775476879,-0.00026338892619931124
6,813962,CA,Canada,Alberta,,,CA-AB,,2020-02-21,-0.0004441228078066081,0.004759766617612442,0.02045290568028765,-0.0019809280838524825,0.007058701874096748,-0.0007018064414974841
7,813963,CA,Canada,Alberta,,,CA-AB,,2020-02-22,0.003378631406062024,0.006064450942855063,-0.009787370528281788,-0.0027357329213206854,0.003177495534461909,-0.0005124344390427238
8,813964,CA,Canada,Alberta,,,CA-AB,,2020-02-23,-0.020014078522949043,-0.009745103035223633,-0.09492000780953104,-0.015575177382679621,-0.007622588709644693,0.001860447416112514
9,813965,CA,Canada,Alberta,,,CA-AB,,2020-02-24,-0.0049088370539579615,2.397846279781495e-05,-0.03911327039304438,0.0018623493457159278,0.0037858587740258387,-8.782431388857448e-05
10,813966,CA,Canada,Alberta,,,CA-AB,,2020-02-25,-0.0002196732463267353,-0.0023140981939462468,0.0029809195709391842,-0.00048153331626879384,0.004551819902197212,-8.782431388857448e-05
11,813967,CA,Canada,Alberta,,,CA-AB,,2020-02-26,-0.000742560617747886,0.004251881740466836,-0.001673286293501484,-0.0033450781142295,0.005290777315134168,-0.0009894219811272843
12,813968,CA,Canada,Alberta,,,CA-AB,,2020-02-27,0.013605919733803706,0.013080081970026901,0.03148559703946227,0.009915044801887563,0.005453230177623268,-0.002535238949395289
13,813969,CA,Canada,Alberta,,,CA-AB,,2020-02-28,0.007712412336214825,0.014576531618716413,0.03215385077477349,0.006427990956309437,0.004277682607179729,-0.002124871181670343
14,813970,CA,Canada,Alberta,,,CA-AB,,2020-02-29,-0.002451688695517926,0.002325687755202768,-0.008561684211087378,-0.009760500109648892,0.0007175704791051718,0.00039066658698417726
15,813971,CA,Canada,Alberta,,,CA-AB,,2020-03-01,-0.00548993840489697,0.0005987671092512217,-0.02740504306710849,-0.009586252031210057,-0.003048849786970298,0.00026812113817622607
16,813972,CA,Canada,Alberta,,,CA-AB,,2020-03-02,0.0024864238632298277,0.005580469353195876,-0.0016805062471293443,0.005037076006545278,0.010990261072089039,-0.0014017846593645164
17,813973,CA,Canada,Alberta,,,CA-AB,,2020-03-03,-1.840253944105654e-05,0.005144735193728723,0.007028355003333527,-0.00017803160956493834,0.0073901471086583286,-0.0007018064414974841
18,813974,CA,Canada,Alberta,,,CA-AB,,2020-03-04,-0.0006431164259351189,0.007883388635449939,-0.00020514286747752315,0.001962632038792227,0.00862891735062652,-0.0008769740747709017
19,813975,CA,Canada,Alberta,,,CA-AB,,2020-03-05,-0.0007910219698256594,0.00756680229034259,-0.01290097624480181,0.001069557035624724,0.0074858904543045925,-0.0008769740747709017
