PROVINCE,date,TRANSIT,WORKPLACE,RESIDENTIAL
Alberta,2020-02-15,7.0,-2.0,-1.0
Alberta,2020-02-16,3.0,-3.0,-2.0
Alberta,2020-02-17,-40.0,-67.0,15.0
Alberta,2020-02-18,-9.0,-5.0,2.0
Alberta,2020-02-19,-7.0,-1.0,1.0
Alberta,2020-02-20,-6.0,-1.0,0.0
Alberta,2020-02-21,-1.0,2.0,0.0
Alberta,2020-02-22,4.0,5.0,-1.0
Alberta,2020-02-23,0.0,3.0,0.0
Alberta,2020-02-24,3.0,4.0,0.0
Alberta,2020-02-25,2.0,5.0,0.0
Alberta,2020-02-26,1.0,5.0,-1.0
Alberta,2020-02-27,1.0,2.0,0.0
Alberta,2020-02-28,6.0,4.0,-1.0
Alberta,2020-02-29,4.0,5.0,0.0
Alberta,2020-03-01,4.0,4.0,-1.0
Alberta,2020-03-02,1.0,5.0,0.0
Alberta,2020-03-03,0.0,5.0,0.0
Alberta,2020-03-04,0.0,5.0,0.0
Alberta,2020-03-05,0.0,4.0,0.0
Alberta,2020-03-06,3.0,6.0,0.0
Alberta,2020-03-07,-6.0,3.0,2.0
Alberta,2020-03-08,-4.0,2.0,1.0
Alberta,2020-03-09,-1.0,4.0,0.0
Alberta,2020-03-10,-4.0,4.0,1.0
Alberta,2020-03-11,-5.0,4.0,1.0
Alberta,2020-03-12,-8.0,2.0,1.0
Alberta,2020-03-13,-17.0,-3.0,5.0
Alberta,2020-03-14,-26.0,-5.0,7.0
Alberta,2020-03-15,-25.0,-7.0,5.0
Alberta,2020-03-16,-39.0,-22.0,9.0
Alberta,2020-03-17,-45.0,-29.0,13.0
Alberta,2020-03-18,-52.0,-35.0,16.0
Alberta,2020-03-19,-56.0,-39.0,18.0
Alberta,2020-03-20,-53.0,-40.0,19.0
Alberta,2020-03-21,-47.0,-30.0,13.0
Alberta,2020-03-22,-51.0,-34.0,11.0
Alberta,2020-03-23,-63.0,-46.0,19.0
Alberta,2020-03-24,-66.0,-49.0,22.0
Alberta,2020-03-25,-66.0,-50.0,22.0
Alberta,2020-03-26,-68.0,-51.0,22.0
Alberta,2020-03-27,-65.0,-50.0,23.0
Alberta,2020-03-28,-63.0,-40.0,16.0
Alberta,2020-03-29,-63.0,-41.0,13.0
Alberta,2020-03-30,-71.0,-52.0,21.0
Alberta,2020-03-31,-70.0,-53.0,23.0
Alberta,2020-04-01,-71.0,-53.0,23.0
Alberta,2020-04-02,-72.0,-53.0,24.0
Alberta,2020-04-03,-71.0,-52.0,25.0
Alberta,2020-04-04,-63.0,-42.0,16.0
Alberta,2020-04-05,-69.0,-43.0,14.0
Alberta,2020-04-06,-69.0,-52.0,21.0
Alberta,2020-04-07,-70.0,-53.0,23.0
